,X,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
39,39,"Harvard, Harvard Square &amp; MIT ðŸ™ŒðŸ¤ðŸ‘ðŸ“š #harvarduniversity #mit #cold #blessed @ Harvard, Massachusetts https://t.co/3DS7TK7TTj",FALSE,0,NA,3/8/19 20:30,FALSE,NA,1.10412E+18,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",jorge_vc,0,FALSE,FALSE,-71.5833,42.5
40,40,RT @StrangRacing: #Fever https://t.co/XqLA6YXdKc,FALSE,0,NA,3/8/19 20:30,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sennadasilva15,2,TRUE,FALSE,NA,NA
41,41,"The forecast map for this evening . Radars at :     https://t.co/HNLPnb8GMF    
#wx #weather #storm #hail #windâ€¦ https://t.co/xcMR4u1192",FALSE,0,NA,3/8/19 20:30,TRUE,NA,1.10412E+18,NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter Ads Composer</a>",livewxradar,0,FALSE,FALSE,NA,NA
42,42,"RT @Signature_Store: A year ago we lost a friend, a pillar of the motorsport community, a host, but more importantly a father, husband andâ€¦",FALSE,0,NA,3/8/19 20:29,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Poppys_Dad,3,TRUE,FALSE,NA,NA
43,43,"Get your flu shot, people! - #Flu season continues with a second wave of severe flu infections happening, @CDCgov sâ€¦ https://t.co/z9bpBpsoq6",FALSE,0,NA,3/8/19 20:29,TRUE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AaronWittnebel,0,FALSE,FALSE,NA,NA
44,44,"RT @SHINee: â€˜ë§ŒëŠ¥ì¹˜íŠ¸í‚¤â€™ ìƒ¤ì´ë‹ˆ í‚¤ê°€ SM â€˜STATIONâ€™ ì‹œì¦Œ 3ì˜ ì—¬ì„¯ ë²ˆì§¸ ì£¼ìžë¡œ ë‚˜ì„­ë‹ˆë‹¤!
í‚¤ê°€ ì§ì ‘ ìž‘ì‚¬ì— ì°¸ì—¬í•˜ê³  ëž˜í¼ í•œí•´ê°€ í”¼ì²˜ë§í•œ ì‹ ê³¡ â€˜Cold (Feat. í•œí•´)â€™ ë§Žì´ ê¸°ëŒ€í•´ì£¼ì„¸ìš”~
ðŸŽ§ í‚¤(KEY) â€˜Cold (Fâ€¦",FALSE,0,NA,3/8/19 20:29,FALSE,NA,1.10412E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",paula_blandin,13461,TRUE,FALSE,NA,NA
45,45,Check out these #record #cold temperatures: never before has it been this cold on March 8th.  By Monday AM it willâ€¦ https://t.co/bZ0GVvNTyV,FALSE,0,NA,3/8/19 20:29,TRUE,NA,1.10412E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CindyDayWeather,1,FALSE,FALSE,NA,NA
46,46,RT @TheWWImuseum: #WW101 | #OTD in 1918: First report of #Influenza in KS. The disease is carried from US to the Western Front. Over the neâ€¦,FALSE,0,NA,3/8/19 20:28,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",APUSHCato,6,TRUE,FALSE,NA,NA
47,47,"RT @MHLWitter: ã€#ã‚¤ãƒ³ãƒ•ãƒ«ã‚¨ãƒ³ã‚¶ ã® #ãƒžãƒ¡ä¾¿ã‚Š ã€‘
æ–°åž‹ã‚¤ãƒ³ãƒ•ãƒ«ã‚¨ãƒ³ã‚¶å¯¾ç­–ã«é–¢ã™ã‚‹ã€è‹±èªžç‰ˆã®å‹•ç”»ã¯ã€åŽšåŠ´çœãƒ›ãƒ¼ãƒ ãƒšãƒ¼ã‚¸ã‹ã‚‰ã”è¦§ã«ãªã‚Œã¾ã™ã€‚
â€œTips for Coping with Pandemic #Influenza â€ in English. Checâ€¦",FALSE,0,NA,3/8/19 20:28,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1578564a,8,TRUE,FALSE,NA,NA
48,48,RT @TheWWImuseum: #WW101 | #OTD in 1918: First report of #Influenza in KS. The disease is carried from US to the Western Front. Over the neâ€¦,FALSE,0,NA,3/8/19 20:28,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",NancyNorthcott,6,TRUE,FALSE,NA,NA
49,49,Snowflakes zoomed in â„ï¸ #winter #michigan #cold #snow #snowy #storm #pinetrees #white #beautifulâ€¦ https://t.co/62WFNVlrtg,FALSE,0,NA,3/8/19 20:27,TRUE,NA,1.10412E+18,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",RaggFotografia,0,FALSE,FALSE,NA,NA
50,50,"RT @HHSRegion7: Flu-like illness in flu-ravaged #Nebraska eased below the high level for first time in 11 weeks during week ended March 2,â€¦",FALSE,0,NA,3/8/19 20:27,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hhsregion3,1,TRUE,FALSE,NA,NA
51,51,"RT @TheBishF1: Remembering the wonderful &amp; inimitable Henry Hope-Frost, who died #OnThisDay a year ago. Great journalist, brilliant broadcaâ€¦",FALSE,0,NA,3/8/19 20:27,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gordonhendy,49,TRUE,FALSE,NA,NA
52,52,RT @HHSGov: New in-season #flu estimates from @CDCgov show that over 20 million people have been sick with flu this season. The latest figuâ€¦,FALSE,0,NA,3/8/19 20:27,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hhsregion3,25,TRUE,FALSE,NA,NA
53,53,"RT @Stuart_Dent: Remembering my brilliant, witty and incredibly knowledgeable friend Henry Hope-Frost, who was stolen from us a year ago toâ€¦",FALSE,0,NA,3/8/19 20:26,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LittlemanT16,12,TRUE,FALSE,NA,NA
54,54,"RT @GoodwoodRRC: It's been a year... but the #FEVER will last forever!  
https://t.co/j4BzCehANi",FALSE,0,NA,3/8/19 20:25,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ipettifer,14,TRUE,FALSE,NA,NA
55,55,"RT @ourmotorsportuk: Remembering Henry Hope-Frost, one year on.
#HHF #Fever https://t.co/BkxJqglNeg",FALSE,0,NA,3/8/19 20:25,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",andrewtheblade,16,TRUE,FALSE,NA,NA
56,56,There are so many things I want to say but none of them can fully express just how much we love and miss you Henry.â€¦ https://t.co/xy2WkpLOrz,FALSE,2,NA,3/8/19 20:23,TRUE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",writebend,0,FALSE,FALSE,NA,NA
57,57,#WW101 | #OTD in 1918: First report of #Influenza in KS. The disease is carried from US to the Western Front. Overâ€¦ https://t.co/H34NLnxiWJ,FALSE,8,NA,3/8/19 20:22,TRUE,NA,1.10412E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TheWWImuseum,6,FALSE,FALSE,NA,NA
58,58,RT @nicksawaboy: .@theestallion finally confirmed #FEVER is dropping in April. ðŸ”¥ https://t.co/aAqNIUsmGq,FALSE,0,NA,3/8/19 20:22,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ednieee,35,TRUE,FALSE,NA,NA
59,59,"RT @Salud_CZ5: #Guayas | Personal de Salud junto con la ciudadanÃ­a del sector San RamÃ³n, cantÃ³n Pedro Carbo, realizaron minga comunitaria pâ€¦",FALSE,0,NA,3/8/19 20:22,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PaolaRo78980016,66,TRUE,FALSE,NA,NA
60,60,"@OmologatoOro @Lotusman70 What fantastic customer service these guys display ,simply outstanding and would put mostâ€¦ https://t.co/ftdsP7ktCZ",FALSE,1,OmologatoOro,3/8/19 20:21,TRUE,NA,1.10411E+18,3309897850,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rigger29,0,FALSE,FALSE,NA,NA
61,61,"RT @equiflunet: March 2019: #equine #flu in Sussex. Two separate outbreaks confirmed. 
On 5 March 2019, AHT confirmed a case in a vaccinateâ€¦",FALSE,0,NA,3/8/19 20:20,FALSE,NA,1.10411E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BeccaW1000,4,TRUE,FALSE,NA,NA
62,62,"RT @CDCFlu: #FluFactFriday: Flu vaccine not only protects you, but those around you.
Protection from #flu is esp imâ€¦ https://t.co/PUAWZE6QLQ",FALSE,1,NA,3/8/19 20:20,TRUE,NA,1.10411E+18,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",QIOProgram,0,FALSE,FALSE,NA,NA
63,63,"RT @Stuart_Dent: Remembering my brilliant, witty and incredibly knowledgeable friend Henry Hope-Frost, who was stolen from us a year ago toâ€¦",FALSE,0,NA,3/8/19 20:19,FALSE,NA,1.10411E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RaimonDuran,12,TRUE,FALSE,NA,NA
64,64,"RT @Salud_CZ2: #Tena | NiÃ±os del programa #MisiÃ³nTernura del @MIES_Zona2 y sus madres, son atendidos por un equipo de salud, en la parroquiâ€¦",FALSE,0,NA,3/8/19 20:18,FALSE,NA,1.10411E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ManchayDavid,4,TRUE,FALSE,NA,NA
65,65,RT @nicksawaboy: .@theestallion finally confirmed #FEVER is dropping in April. ðŸ”¥ https://t.co/aAqNIUsmGq,FALSE,0,NA,3/8/19 20:18,FALSE,NA,1.10411E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yaboymigo,35,TRUE,FALSE,NA,NA
66,66,"RT @Salud_CZ2: #Archidona | NiÃ±os de la InstituciÃ³n Educativa Pituyacu, en la parroquia San Pablo se Ushpayacu, fueron vacunados para preveâ€¦",FALSE,0,NA,3/8/19 20:18,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ManchayDavid,3,TRUE,FALSE,NA,NA
67,67,"SEVERE STORM THREAT this afternoon and evening    See Radar maps and zoom in at   
https://t.co/HNLPnbqhEd  
#wxâ€¦ https://t.co/4MX052rLzY",FALSE,0,NA,3/8/19 20:18,TRUE,NA,1.10411E+18,NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter Ads Composer</a>",livewxradar,0,FALSE,FALSE,NA,NA
68,68,"RT @IndianaFever: From receiving her first ðŸ€ to leading the #Fever!
@DrAllisonBarber sits down to talk about growing the game and the meanâ€¦",FALSE,0,NA,3/8/19 20:17,FALSE,NA,1.10411E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sewalker56,1,TRUE,FALSE,NA,NA
69,69,Can you identify with most American's winter blues? #HVAC #Heating #Winter #HVACR #Cold #Heat #TGIF #IWD2019â€¦ https://t.co/Fa679Sdx4a,FALSE,0,NA,3/8/19 20:16,TRUE,NA,1.10411E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",YourHVACSpot,0,FALSE,FALSE,NA,NA
70,70,RT @HHSGov: New in-season #flu estimates from @CDCgov show that over 20 million people have been sick with flu this season. The latest figuâ€¦,FALSE,0,NA,3/8/19 20:16,FALSE,NA,1.10411E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",auzout9,25,TRUE,FALSE,NA,NA
71,71,RT @GMMedicalMuseum: Programme for our exciting Spanish Flu Study Day on Friday 5 April. Book NOW: https://t.co/JG80TW7yoG #Influenza100 #Sâ€¦,FALSE,0,NA,3/8/19 20:15,FALSE,NA,1.10411E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HistoryWM,2,TRUE,FALSE,NA,NA
72,72,#Fever https://t.co/8RpCHg8OMV,FALSE,4,NA,3/8/19 20:15,FALSE,NA,1.10411E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JGphotography5,0,FALSE,FALSE,NA,NA
73,73,"RT @Salud_CZ5: #Guayas | Personal de Salud junto con la ciudadanÃ­a del sector San RamÃ³n, cantÃ³n Pedro Carbo, realizaron minga comunitaria pâ€¦",FALSE,0,NA,3/8/19 20:14,FALSE,NA,1.10411E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",halbertomendoza,66,TRUE,FALSE,NA,NA
74,74,Boiron is the #1 pharmacist-recommended brand for #homeopathic #flu products. https://t.co/ZOIYQA1hVA https://t.co/7nJbrAmR4q,FALSE,0,NA,3/8/19 20:14,FALSE,NA,1.10411E+18,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",BoironUSA,0,FALSE,FALSE,NA,NA
